,predictor,frequency
0,"Adolescent fertility rate (births per 1,000 women ages 15-19)",5
5,Cereal yield (kg per hectare),5
9,Urban population (% of total),5
6,GDP per capita (current US$),4
7,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",4
8,Permanent cropland (% of land area),4
10,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",4
11,Population density (people per sq. km of land area),4
1,Agricultural land (% of land area),2
3,Arable land (hectares per person),2
12,Merchandise trade (% of GDP),2
2,Arable land (% of land area),1
4,CO2 emissions from solid fuel consumption (% of total),1
