,predictor,frequency
0,"Adolescent fertility rate (births per 1,000 women ages 15-19)",13
3,Cereal yield (kg per hectare),13
4,GDP per capita (current US$),13
5,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",13
10,Urban population (% of total),13
6,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",11
9,Population density (people per sq. km of land area),11
2,Arable land (hectares per person),7
8,Permanent cropland (% of land area),6
7,Merchandise trade (% of GDP),5
1,Agricultural land (% of land area),3
