,0
0,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
1,Cereal yield (kg per hectare)
2,Urban population (% of total)
3,GDP per capita (current US$)
4,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"
5,Permanent cropland (% of land area)
6,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"
7,Population density (people per sq. km of land area)
8,Agricultural land (% of land area)
9,Arable land (hectares per person)
