,feature,VIF
0,"Adolescent fertility rate (births per 1,000 women ages 15-19)",2.8008105656475926
1,Agricultural land (% of land area),4.6957141761508865
2,Arable land (hectares per person),2.0978372235945346
3,Cereal yield (kg per hectare),2.5798171722605328
4,GDP per capita (current US$),2.0770112829758407
5,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",2.08132994481019
6,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2.433273801322466
7,Permanent cropland (% of land area),1.699907307991432
8,Population density (people per sq. km of land area),1.8036180197073177
9,Urban population (% of total),5.237027992482312
